terremoto	scossa	3.92
patrimonio	azione	3.45
ebreo	gerusalemme	3.59
nuvolosità	previsione	2.03
dizionario	enciclopedia	3.05
zecca	museo	2.05
sedia	sgabello	3.84
spagnolo	umidità	1.68
lattina	bottiglia	3.57
mosca	formica	3.62
mito	satira	2.32
centro della città	autobus	0.00
coda	boeing 747-200	3.25
opera d'arte	artista	3.69
nato	alleanza	2.65
re	sovrano	4.00
ritmo	cadenza	3.56
alexander fleming	penicillina	3.82
flauto	musica	3.56
airone cenerino	lago	2.09
viscosità	spruzzo	2.91
hardware	case	3.69
anello	fidanzamento	2.18
latino	tedesco	3.35
classe operaia	fabbrica	2.02
shakespeare	dickens	3.08
banconota	prete	1.33
strumento	lavoro	2.75
cinghiale nano	suidi	2.81
suffragio	uscita	1.56
stella	luminosità	3.90
trota	chitarra	1.15
dollaro	milionario	2.23
cifra	numero	4.00
burrasca	coperta	1.87
obama	clinton	3.79
personaggio secondario	film	3.41
juventus	bayern monaco	3.47
cambiamento climatico	precipitazione	2.68
ia	batteria	2.73
capolavoro	gioconda	3.71
crimine	aggressione	3.66
incoronazione	acqua	1.97
vocalista	pentagramma	0.00
spareggio	pallacanestro	2.69
forze armate	difesa	3.65
lago	nuvola	2.09
monastero	doccia	1.76
lingua madre	lingua	3.85
porto	incarto	1.85
